key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure
Israel,82.802439,25.2,9.7,3.0,70.873,39.638000000000005,15.4,9.6,,5.7002,4.6249,3144.626221,699.707214
India,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937
Iraq,70.454,,8.8,22.5,185.81099999999998,129.1,75.1,21.3,,2.0448,0.7079,210.31370499999997,122.072998
Iran,76.479,11.0,9.6,12.4,83.38600000000001,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.54406699999998
Iceland,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,,16.2132,4.0778,6086.311522999999,1003.047241
Italy,83.4,23.7,5.0,2.6,,,15.0,9.5,,5.7401,3.9774,2840.130615,667.027588
Jamaica,74.368,16.8,11.3,12.4,175.46400000000003,104.39,25.4,14.7,,0.8068,1.3061,307.196045,52.928936
Jordan,74.405,,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625
Japan,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.986328,535.619568
Kenya,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419660999999998
Cambodia,69.57,17.2,6.4,24.0,199.97099999999998,132.376,149.8,21.1,0.8,0.6855,,82.075867,49.603271
Comoros,64.118,14.0,12.3,51.3,245.52700000000002,194.435,172.4,22.9,,0.6285,0.2715,58.760929000000004,43.863341999999996
South Korea,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.6894530000001
Kuwait,75.398,22.5,12.2,6.7,69.179,41.12,103.8,17.4,,7.4145,2.6463,1529.0776369999999,192.897873
Cayman Islands,82.19024,,6.8,,,,,,,,,,
Kazakhstan,73.15,24.0,6.1,8.8,220.812,94.435,62.7,26.8,,7.2936,,279.645325,92.70096600000001
Lebanon,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.4434809999999,238.990112
Sri Lanka,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,,2.1803,1.0041,159.48474099999999,79.356094
Liberia,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,,0.5321,0.0376,56.599030000000006,25.756157
